created_at,full_text,username
Mon Feb 12 17:03:48 +0000 2024,Ada info larangan coblos Prabowo-Gibran di Surabaya Bawaslu janji selidiki https://t.co/d7R3BWp7Ec #paslon02 #prabowogibran #bawaslusurabaya #pilpres2024 #pemilu2024 #surabaya #beritasurabaya #Lensaindonesiacom,lensaindonesia
Mon Feb 12 17:01:00 +0000 2024,1 suara itu berarti untuk Indonesia gunain sebaik mungkin ya hak pilih kalian siapapun pilihan presiden kalian pemilu harus tetap damai guys #FixPrabowoGibran #AkhirnyaPilih02 #PrabowoGibran2024 #Pemilu2024 #pemiludamai #akbarrais https://t.co/I7bMW9fe5X,generasigemoyid
Mon Feb 12 16:58:41 +0000 2024,Cuaca Ekstrem @KPU_ID Diingatkan Antisipasi Bencana Alam di Hari Coblosan #Pemilu2024 via @jurnal9dottv @TV9NUsantara cc @infoBMKG @adibuana_sby https://t.co/3SlGtBfzOu,hakimjayli
Mon Feb 12 16:51:08 +0000 2024,film dokumenter Dirty Vote terkena shadow banned di YouTube. Ayo kita semua download video via web/converter lalu upload ulang. Biar semua masyarakat bisa menonton tanpa susah mencarinya. #Pemilu2024 #dirtyvote #dirty_vote #AMINAjaDulu #PrabowoGibran2024 #GanjarMahfud https://t.co/iWbulDURRT,houtenz7
Mon Feb 12 16:46:37 +0000 2024,@CCwithSybil @dadangrhs Wah.. Data ada fakta ada malah sdh ada gugatan masih dibilang fitnah.. #Pemilu2024,1231_rina
Mon Feb 12 16:37:47 +0000 2024,Dua hari lagi sebelum #Pemilu2024 mau nggak Indonesia menjadi lebih baik? #AyoMemilih! Ingat... Jangan golput Pilih yang terbaik menurutmu Kawal sampai semua suara masuk 100% #PemiluDamai,Arii765
Mon Feb 12 16:30:00 +0000 2024,Nagita Slavina ngomong sesuatu nih pemilu Damai untuk kita semua jangan lupa ya kita harus nyoblos di tanggal 14 Februari karena suara kalian sangat berarti #FixPrabowoGibran #AkhirnyaPilih02 #PrabowoGibran2024 #pemilu2024 #pemiludamai #nagitaslavina https://t.co/EAe0GedkS8,generasigemoyid
Mon Feb 12 16:18:40 +0000 2024,Begini Asal Muasal Tanah Jawa Ada Silsilahnya yang Perlu Kamu Tahu https://t.co/bOVrRfZuga #viral #jawa #FYP #SuperBowl2024 #Pemilu2024 #jalapantura,jalapanturacom
Mon Feb 12 16:13:00 +0000 2024,Film Vote &amp; Guru Besar mungkin tujuannya sama untuk mengdown-grade #Pemilu2024 di mata publik. 01 menang rusuh. 02 menang rusuh. 03 menang rusuh.,sir_usil
Mon Feb 12 16:06:08 +0000 2024,Pentingnya menggali informasi dengan Literasi agar tidak buta Maps. #DirtyVote #PemiluSerentak2024 #Pemilu2024 #AMINAjaDulu #AMINmenang,Dyria4
Mon Feb 12 16:02:55 +0000 2024,Doakan para bapak-bapak ini ya gesfillah! Siapapun yang akan menduduki posisi yang dicari semoga Allah senantiasa memberkahi #dakwah #ababil #ababiltroops #pemilu #pemilu2024 #aniesmuhaimin #prabowogibran #ganjarmahfud #pemiludamai #IndonesiaRaya https://t.co/PpCbDanXPA,TroopsAbabil
Mon Feb 12 16:02:45 +0000 2024,Pj. Bupati Muba Ajak Masyarakat Sukseskan Pemilu Tahun 2024 #bekisarmedia #pemilu2024 #muba #musibanyuasin #sumsel #sumateraselatan #indonesia #pilpres2024 https://t.co/pagRVYhPQ8,bekisarmedia
Mon Feb 12 16:00:00 +0000 2024,Suara aku dan kamu sangat penting pilih sesuai hati ya dan ingat jangan golput! karna golput itu gak baik untuk kita semua apalagi untuk kemajuan Indonesia #FixPrabowoGibran #AkhirnyaPilih02 #PrabowoGibran2024 #pemilu2024 #pemiludamai #celineevangelista https://t.co/LS6UTx3tRX,generasigemoyid
Mon Feb 12 15:58:37 +0000 2024,Zoom Meeting terkait Instalasi Aplikasi dan Aktivasi Akun Sirekap Hotel Nadia 29 Januari 2024 . KPU Melayani Integritas 24 jam ____________________ #pemiluserentak2024 #pemilu2024 #kpuri #kpijatim #kpukotaprobolinggo #ppkkanigaran #ppskebonsariwetan https://t.co/DohKuvr8ty,PpsBonsawet
Mon Feb 12 15:58:30 +0000 2024,Kenapa sih Diaspora banyak yang #golput? #pemilu2024 https://t.co/1KZDbbsCVH,yuanathan
Mon Feb 12 15:56:04 +0000 2024,PODCAST ANTIHOAKS MARAKNYA VIDEO MENGGUNAKAN AI DAN HOAKS YANG BEREDAR DI TAHUN POLITIK Selengkapnya di https://t.co/GzMIYtvFIQ #pemilu2024 #mafindo #turnbackhoax #podcast https://t.co/lMlqBnrfU8,aribowosasmito
Mon Feb 12 15:56:02 +0000 2024,Persiapan Polri Amankan Pemilu 2024 Jelang Pencoblosan #Amankan #JelangPencoblosan #Pemilu2024 #Persiapan #Polri #gentalamedia https://t.co/dcBZtakLpd,MediaGentala
Mon Feb 12 15:39:23 +0000 2024,Sebentar lagi Hari Pemilu 2024 mohon maaf ada ulasan rokok bakal diskip dahulu. #JelangPemilu2024 #Pemilu2024 #UlasanRokok #Pilpres2024 #RokokBaru,MC_Nishidella98
Mon Feb 12 15:37:57 +0000 2024,Adhy Karyono Sekdaprov jadi Plh Gubernur Jatim https://t.co/rrzNGHkbcR #Khofifah #EmilDardak #WagubJatim #ArumiBachsin #WagubEmil #InfoJatim #JawaTimur #Jatim #BeritaJatim #KabarJatim #Pemilu #Pemilu2024 #Prabowo #Gibran,griyabacaku
Mon Feb 12 15:33:52 +0000 2024,Gubernur Ansar Imbau Masyarakat Ikut Mengawasi Pesta Demokrasi untuk Pemilu Bersih Jujur dan Damai #gubernuransar #pestademokrasi #pemilu2024 https://t.co/O6GjVXEo3w,batamtoday
Mon Feb 12 15:33:01 +0000 2024,Personil Polres Samosir dan TNI Amankan Penertiban Alat Peraga Kampanye (APK) #opsmantapbrata2024 #pemilu2024 #divisihumaspolri #poldasumaterautara #polressamosir https://t.co/NrsQxi1nYp,HumasresSamosir
Mon Feb 12 15:32:36 +0000 2024,Jangan salah coblos kenali 5 jenis surat suara Pemilu 2024 #Pemilu2024 #Pilpres #SuratSuara https://t.co/YTkT4IGp2m,Dulohupa_id
Mon Feb 12 15:32:02 +0000 2024,Halo #SobATRBPN pesta demokrasi akan diselenggarakan pada 14 Februari 2024 siapapun pilihanmu yang perlu diingat jangan kucek-kucek mata setelah mencoblos ya Sob! Mari bersama suarakan suaramu dalam Pemilihan Umum (PEMILU) di Tempat Pemungutan Suara (TPS). #Pemilu2024 https://t.co/zjYAafyLfd,KantahKabTTU
Mon Feb 12 15:30:00 +0000 2024,Komandan Andre nih lagi ngomong tanggal 14 Februari bentar lagi coblos pilihan kamu jangan golput Gemoy dan Samsul Siap Bikin Indonesia Unggul. Coblos nomor 2! #FixPrabowoGibran #AkhirnyaPilih02 #PrabowoGibran2024 #Pemilu2024 #PemiluDamai #andretaulany https://t.co/6hnBV3qiAT,generasigemoyid
Mon Feb 12 15:29:23 +0000 2024,Bila terdapat 3 paslon syarat kemenangan pilpres dalam putaran pertama mendapat suara lebih dari 50%; sebaran suara sedikitnya 20% di setiap provinsi; dan tersebar di lebih dari setengah jumlah provinsi di Indonesia (20 provinsi). #Pemilu2024,kopibukudanpena
Mon Feb 12 15:29:23 +0000 2024,Let s vote 🇮🇩 Gunakan hak pilihmu! #Pilpres2024 #IndonesiaEmas #Pemilu2024 #IndonesiaKuatIndonesiaMaju https://t.co/cmi6xeMxFE,CannaMomsNYC
Mon Feb 12 15:28:17 +0000 2024,Kapolres Samosir Turut Serta Dalam Pendistribusian Logistik Pemilu 2024 #opsmantapbrata2024 #pemilu2024 #divisihumaspolri #poldasumaterautara #polressamosir https://t.co/qUGaEvmKjw,HumasresSamosir
Mon Feb 12 15:26:47 +0000 2024,Tolak golput ayo memilih untuk Indonesia #Pemilu2024,pojok_sulbar
Mon Feb 12 15:26:12 +0000 2024,Kertas surat suara ada lima jenis saya khawatir para pemilih terutama orangtua akan kesulitan saat berada di box pencoblosan. Dulu mah pake bilik suara. Bisa bingung mereka setelah antri dan capek. Sosialisasi di tataran ini rada minim kurasa. #Pilpres2024 #Pemilu2024,c4hbanten
Mon Feb 12 15:25:05 +0000 2024,selama masa tenang kampanye pemilu 2024 pesera pemilu dilarang melakukan kegiatan kampanye baik secara langsung maupun tidak langsung. larangan ini diatur dalam UU no.7 tahun 2017 tentang pemilihan umum khususnya dalam pasal 275 278 dan 287. Dirty Vote #dirtyvote #Pemilu2024 https://t.co/eT7F3XrO6p,heyyo_gaiss
Mon Feb 12 15:25:04 +0000 2024,Tolak golput #Pemilu2024,baronben_
Mon Feb 12 15:23:28 +0000 2024,Koordinator Isu PPA Bemnus Polman Wilda Silvianasari ajak masyarakat sukseskan Pemilu dan tolak golput #pemilu2024 https://t.co/AOP0MKjOnE,anselarsenio_
Mon Feb 12 15:23:22 +0000 2024,Kades Babana Mamuju Tengah Arifuddin ajak masyarakat gunakan hak pilihnya pada 14 Februari #pemilu2024 https://t.co/23jTt0L09n,anselarsenio_
Mon Feb 12 15:23:18 +0000 2024,Apa kalian tau tujuan AS dukung anies bukan tanpa alasan melainkan ada tujuan tertentu coba buzzer buzzer paslon 01 mnding kita debat sini #Pemilu2024 #dirty #aniesbaswedan #prabowogibran02 #GanjarMahfudSatset #PemiluSerentak2024 https://t.co/NfjI1i7D5O,AXLV75
